id,name,category,subcat,price
149,Mini Indoor Hydroponic Garden,Garden,Indoor Gardening Supplies,59.99
150,Kitchen Knife Sharpening System,Kitchen,Kitchen Gadgets,39.99
151,Classic Caesar Salad Kit,Food - Salads,Salad Kits,4.99
152,Apple Cinnamon Granola,Food - Breakfast,Granola & Muesli,4.49
153,Coffee Subscription Service,Food,Beverages,29.99
154,Classic Caesar Salad Kit,Food - Salads,Salad Kits,4.99
155,Bike Helmet,Bicycles,Accessories,34.99
156,Home Karaoke System,Audio,Karaoke Equipment,129.99
157,Pet Travel Bowl,Pets,Pet Accessories,10.99
158,Adjustable Laptop Stand,Office,Laptop Accessories,29.99
159,Nature Explorer Lens Kit,Toys,Outdoor Play Toys,19.99
160,Home Brewing Starter Kit,Food,Beverages,79.99
161,Portable Hammock with Stand,Outdoor,Camping Equipment,69.99
162,Wireless Smart Plug,Smart Home,Home Accessories,19.99
163,Electric Wine Opener,Kitchen,Barware,29.99
164,Insulated Lunch Bag,Kitchen,Food Storage Solutions,24.99
165,Home Delivery Food Journal,Health,Nutrition & Fitness,14.99
166,Pet Food Storage Container,Pets,Pet Accessories,24.99
167,Mechanical Pencil Set,Office,Writing Instruments,19.99
168,Bamboo Toothbrush,Health,Oral Care & Hygiene,5.99
169,Blueberry Chia Jam,Food - Spreads,Fruit Spreads,4.99
170,Coconut Chia Pudding,Food - Dairy,Dairy Alternatives,3.49
171,Applewood Smoked Bacon,Food - Meat,Pork,6.99
172,Bicycle Repair Kit,Outdoor,Cycling Accessories,14.99
173,Lemon Herb Grilled Chicken,Food - Meat,Marinated Poultry,9.99
174,Baked Potato Chips,Food - Snacks,Healthy Snacks,2.49
175,Ceramic Cookware Set,Kitchen,Cookware,179.99
176,Cinnamon Roll Kit,Food - Baking,Baking Kits,6.89
177,Cat Tree with Scratching Posts,Pets,Cat Furniture,79.99
178,Dried Mango Slices,Food - Snacks,Dried Fruits,3.49
179,Outdoor Mosquito Repellent Lantern,Outdoor,Garden Supplies,34.99
180,Wall-Mounted Wine Rack,Home,Wine Storage Solutions,39.99
181,Fitness Tracker Watch,Wearable Tech,Smartwatches,79.99
182,Cotton Pajama Set,Clothing - Loungewear,Sleepwear,49.99
183,Foam Building Blocks for Kids,Toys,Building Toys,22.99
184,Travel Mug,Kitchen,Drinkware,18.99
185,Dried Apricots,Food - Dried Fruits,Snacks,3.79
186,Granulated Sugar,Food - Baking,Baking Ingredients,2.49
187,Frozen Edamame,Food - Frozen Foods,Frozen Snacks,3.29
188,Savory Oatmeal Cups,Food - Breakfast,Savory Breakfast Options,1.99
189,Fashionable Belt Bag,Accessories,Bags,34.99
190,Educational STEM Kit,Toys,STEM Learning Toys,35.99
191,Smart Home Hub,Smart Home,Home Automation,99.99
192,Nutty Granola Clusters,Food - Cereal,Granola,2.49
193,Two-Tone Windbreaker,Clothing - Outerwear,Jackets,59.99
194,Wall Art Stickers,Home,Decorative Wall Art & Accessories,19.99
195,Lemon Herb Grilled Chicken,Food - Meat,Marinated Poultry,9.99
196,Frozen Burritos,Food - Frozen Foods,Frozen Entrees,8.99
197,Portable Hammock with Stand,Outdoor,Camping Equipment,69.99
198,Smartphone Tripod,Photography,Tripods & Accessories,29.99
199,Vintage Graphic Tee,Clothing - Tops,Graphic Tees,25.99
200,Reusable Silicone Food Storage Bags,Kitchen,Food Storage Solutions,19.99
201,Kids' Gardening Tools Set,Toys,Outdoor Play Toys,22.99
202,Cheddar Cheese Crackers,Food - Snacks,Savory Snacks,2.29
203,Cinnamon Rolls,Food - Bakery,Pastries,4.49
204,Cinnamon Roll Kit,Food - Baking,Baking Kits,6.89
205,Pepper Jack Cheese Slices,Food - Dairy,Cheese,3.49
206,Miso Soup Starter,Food - Soups,Specialty Soups,2.99
207,Fitness Tracker with Heart Rate Monitor,Fitness,Wearable Technology,59.99
208,Cheesy Broccoli Soup Mix,Food - Soups,Creamy Soups,2.99
209,Wrap Jumpsuit,Clothing - Jumpsuits,Jumpsuits,54.99
210,Smartphone Gimbal,Electronics,Camera Accessories,89.99
211,Multi-Purpose Plant Care Tool,Garden,Garden Tools,24.99
212,Mini Air Purifier,Health,Health Devices,49.99
213,Baked Falafel,Food - Vegetarian,Snacks,5.49
214,Streaming Device,Electronics,Home Entertainment Equipment,49.99
215,Almond Joy Munch Bars,Food - Snacks,Healthy Snacks,1.39
216,Collapsible Folding Chair,Outdoor,Camping Equipment,29.99
217,Home Office Chair,Furniture,Office Furniture,199.99
218,Handheld Garment Steamer,Home,Home Appliances,34.99
219,Roasted Garlic Butter,Food - Condiments,Flavored Butters,3.29
220,Lentil Soup,Food - Canned Goods,Soups & Broths,2.49
221,Apple Pie Filling,Food - Canned Goods,Canned Fruits,3.49
222,Thai Basil Fried Rice,Food - Frozen,Frozen Meals,5.99
223,Tomato Basil Soup,Food - Canned Goods,Soups & Broths,3.49
224,Savory Rice Cakes,Food - Snacks,Savory Snacks,2.5
225,Portable Electric Fan,Home,Home Appliances,24.99
226,Frozen Fruit Medley,Food - Frozen Foods,Frozen Fruits,5.99
227,Banana Peanut Butter Smoothie,Food - Frozen Foods,Frozen Smoothies,5.49
228,Ultraviolet Phone Sanitizer,Health,Health Devices,39.99
229,Coconut Chia Seed Pudding,Food - Snacks,Healthy Snacks,2.99
230,Fitness Foam Roller,Fitness,Recovery Tools,29.99
231,Pasta Portion Control Measure,Kitchen,Cooking Tools & Utensils,9.99
232,Sour Cream,Food - Dairy,Dairy Spreads,3.49
233,Pet Tracking Collar,Pets,Pet Accessories,59.99
234,Herbed Couscous,Food - Grains,Seasoned Grains,2.49
235,Running Shorts,Clothing - Activewear,Running Shorts,34.99
236,Satin Slip Dress,Clothing - Dresses,Evening Wear,59.99
237,Coconut Cashew Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,1.99
238,Grilled Vegetable Medley,Food - Vegetables,Vegetable Dishes,4.49
239,Puffer Winter Coat,Clothing - Outerwear,Coats,99.99
240,Coconut Cream,Food - Baking & Cooking,Baking Ingredients,2.99
241,Garden Vegetable Chips,Food - Snacks,Vegetable Snacks,3.49
242,Radish Chips,Food - Snacks,Savory Snacks,2.89
243,Adjustable Kitchen Broom Stand,Home,Kitchen Accessories,14.99
244,Ceramic Bakeware Set,Kitchen,Cookware,49.99
245,Electric Rice Cooker,Kitchen,Cooking Appliances,39.99
246,Set of Measuring Spoons,Kitchen,Kitchen Gadgets,12.99
247,Camping Lantern,Outdoor,Camping Equipment,34.99
248,Almond Joy Munch Bars,Food - Snacks,Healthy Snacks,1.39
249,Water Bottle with Built-in Fruit Infuser,Fitness,Fitness Accessories,18.99
250,Raspberry Lemonade Mix,Food - Beverages,Drink Mixes,3.99
251,Rechargeable Battery Organizer,Home,Home Organization,17.99
252,Tennis Racket,Fitness,Racquet Sports Equipment,89.99
253,Sweet and Sour Sauce,Food - Condiments,Sauces,2.79
254,Thermostatic Shower Valve Kit,Bathroom,Shower Fixtures,39.99
255,Mini Cordless Vacuum Cleaner,Home Appliances,Floor Care Appliances,45.99
256,Pomegranate Juice,Food - Beverages,Juice,4.49
257,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,3.99
258,Silicone Baking Cups,Kitchen,Baking Accessories,10.99
259,Travel Hair Straightener,Beauty,Hair Care Tools,29.99
260,Camping Chair with Cooler,Outdoor,Camping Equipment,49.99
261,Mango Sticky Rice Dessert,Food - Frozen Desserts,Asian Desserts,4.5
262,Wireless Game Controller,Gaming,Gaming Accessories,39.99
263,Leather Wallet,Accessories,Wallets,49.99
264,Mini Indoor Hydroponic Garden,Garden,Indoor Gardening Supplies,59.99
265,Sweet Chili Dipping Sauce,Food - Condiments,Dips,2.99
266,Smart Water Bottle,Fitness,Hydration Gear,39.99
267,Sun-Dried Tomatoes,Food - Vegetables,Vegetables,3.99
268,Outdoor Adventure Kit,Outdoor,Camping Equipment,89.99
269,Fitness Tracker Band,Fitness,Wearable Technology,29.99
270,Frozen Berry Blend,Food - Frozen Foods,Frozen Fruits,4.99
271,Classic Beef Chili,Food - Canned Goods,Soups & Broths,7.99
272,Flavored Popcorn Mix,Food - Snacks,Gourmet Snacks,2.99
273,Oven-Baked Chicken Tenders,Food - Meat,Poultry,6.99
274,Coconut Curry Sauce,Food - Sauces,Ethnic Sauces,3.89
275,Desk Lamp with USB Port,Office,Lighting,29.99
276,Gardening Gloves,Garden,Garden Tools,15.99
277,Crispy Chickpeas,Food - Snacks,Healthy Snacks,2.99
278,Electric Knife,Kitchen,Small Appliances,39.99
279,Noise-Canceling Headphones,Audio,Headphones,119.99
280,Electric Toothbrush Holder,Health,Oral Care & Hygiene,14.99
281,Fitness Balance Ball,Fitness,Fitness Equipment,24.99
282,Creamy Coleslaw Mix,Food - Produce,Condiments,2.39
283,Peach Mango Smoothie,Food - Beverages,Smoothies,3.49
284,Cold Brew Coffee Maker,Kitchen,Coffee Equipment,34.99
285,Wireless Charging Pad,Accessories,Mobile Accessories,19.99
286,Chipotle Black Bean Salad,Food - Salads,Bean Salads,3.29
287,Ginger Snaps,Food - Confectionery,Cookies & Biscuits,2.79
288,Chipotle Lime Salsa,Food - Condiments,Salsas,3.99
289,Travel Jewelry Organizer,Accessories,Jewelry Storage,19.99
290,Cinnamon Roll Dough,Food - Bakery,Frozen Baked Goods,4.49
291,Egg Noodles,Food - Grains,Pasta,2.29
292,Sweet and Sour Sauce,Food - Condiments,Sauces,2.79
293,Dog Training Collar,Pets,Training Supplies,39.99
294,Zucchini Noodles,Food - Vegetables,Pasta Alternatives,3.99
295,Juice Extractor,Kitchen,Blenders & Juicers,99.99
296,Smart Home Security Camera,Smart Home,Home Security,79.99
297,Frozen Spinach,Food - Frozen Foods,Frozen Vegetables,1.99
298,Pet Bed,Pets,Pet Accessories,39.99
299,Brussels Sprouts,Food - Produce,Vegetables,3.49
300,Protein Powder,Fitness,Nutritional Supplements,44.99
301,Chocolate Syrup,Food - Condiments,Syrups,2.99
302,Hiking Gaiters,Outdoor,Hiking Accessories,29.99
303,Artisan Cornbread Mix,Food - Baking,Mixes,2.49
304,Sweet Potato Mash,Food - Frozen Foods,Frozen Vegetables,3.99
305,Garlic and Herb Cream Cheese,Food - Dairy,Cheese Spreads,3.49
306,Car Diagnostic Scanner,Automotive,Automotive Tools,49.99
307,Bluetooth Car Adapter,Automotive,Automotive Accessories,24.99
308,Applewood Smoked Bacon,Food - Meat,Pork,6.99
309,LED Flashlight,Outdoor,Camping Equipment,19.99
310,Motorcycle Phone Mount,Automotive,Motorcycle Accessories,14.99
311,Coconut Cream Pie Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,1.99
312,Blender Bottle,Fitness,Hydration Gear,12.99
313,Sliced Ham,Food - Meat,Processed Meats,5.49
314,Ceramic Cookware Set,Kitchen,Cookware,179.99
315,Infrared Space Heater,Home Appliances,Heating Appliances,99.99
316,Creamy Spinach Dip,Food - Prepared Foods,Dips and Spreads,5.99
317,Peach & Mango Salsa,Food - Snacks,Salsas and Dips,4.49
318,Watercolor Paint Set,Art Supplies,Painting Supplies,19.99
319,Peanut Butter,Food - Condiments,Nut Butters,3.79
320,Solar Power Bank,Electronics,Portable Power Solutions,39.99
321,Sesame Ginger Dressing,Food - Condiments,Dressing,4.09
322,Frozen Berry Medley,Food - Frozen Foods,Frozen Fruits,5.49
323,Video Camera,Electronics,Cameras & Photography,199
324,Tandoori Chicken Skewers,Food - Meat,Marinated Meats,7.99
325,Coconut Milk Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,2.99
326,Sporty Slide Sandals,Clothing - Footwear,Casual Footwear,24.99
327,Wall Art Stickers,Home,Decorative Wall Art & Accessories,19.99
328,Pet Camera with Treat Dispenser,Pets,Pet Technology,149.99
329,High-Speed HDMI Cable,Electronics,Cables & Accessories,12.99
330,Spicy Hummus,Food - Deli,Dips/Spreads,3.49
331,Portable Hand Warmer,Accessories,Tech Accessories,24.99
332,Warm Wool Sweater,Clothing - Tops,Sweaters,59.99
333,Honey Garlic Sauce,Food - Sauces,Condiments,2.59
334,Sunglasses,Accessories,Eyewear,29.99
335,Feta Cheese,Food - Dairy,Cheese,4.99
336,Whole Grain Mustard,Food - Condiments,Mustards,3.49
337,Wireless Wi-Fi Extender,Electronics,Networking Equipment,49.99
338,Smartphone Projector Kit,Electronics,Home Entertainment Equipment,24.99
339,Chilli Lime Corn on the Cob,Food - Vegetable,Vegetable Snacks,1.99
340,Caribbean Jerk Marinade,Food - Marinades,Marinades,3.79
341,Knitted Infinity Scarf,Clothing - Accessories,Scarves,29.99
342,Pet Leash,Pets,Pet Accessories,15.99
343,Smartphone Camera Lens Kit,Photography,Camera Accessories,19.99
344,Whole Wheat Bread,Food - Bakery,Breads,2.49
345,Kettle Chip Variety Pack,Food - Snacks,Chips and Crisps,3.99
346,Fitness Jump Rope,Fitness,Cardio Equipment,15.99
347,Maxi Wrap Dress,Clothing - Dresses,Casual Dresses,49.99
348,Basil Lemonade,Food - Beverages,Herbal Beverages,2.99
349,Travel Orthopedic Pillow,Travel,Travel Accessories,24.99
350,Fitness Activity Journal,Fitness,Health & Wellness Tools,14.99
351,Pet Hair Removal Brush,Pets,Grooming Supplies,14.99
352,Traditional Hummus,Food - Dips,Mediterranean Dips,3.29
353,Elegant Maxi Skirt,Clothing - Bottoms,,44.99
354,Pasta Maker,Kitchen,Small Appliances,39
355,Pet Safety Harness,Pets,Pet Safety Gear,24.99
356,Zucchini Noodles,Food - Vegetables,Pasta Alternatives,3.99
357,Electric Food Steamer,Kitchen,Small Appliances,59.99
358,Coloring Books for Adults,Books,Arts & Crafts,14.99
359,Hydration Backpack,Outdoor,Outdoor Accessories,39.99
360,Over-The-Door Shoe Organizer,Home,Home Organization,25.99
361,Maple Bacon Popcorn,Food - Snacks,Savory Snacks,3.49
362,Hibiscus Tea Bags,Food - Beverages,Herbal Tea,3.79
363,Electric Knife,Kitchen,Small Appliances,39.99
364,Wrist Support Brace,Health,Injury Prevention & Recovery,19.99
365,Creamy Garlic Dressing,Food - Condiments,Dressing,3.99
366,Magnetic Spice Containers,Kitchen,Kitchen Storage & Organization,24.99
367,Mini Air Purifier,Health,Health Devices,49.99
368,Multi-Purpose Marine Rope,Outdoor,Outdoor Recreation,19.99
369,Lentil Vegetable Curry,Food - Prepared Meals,Vegetarian Meals,4.49
370,Handheld Garment Steamer,Home,Home Appliances,34.99
371,Nature Explorer Lens Kit,Toys,Outdoor Play Toys,19.99
372,Wooden Blocks,Toys,Building Toys,24.99
373,Pineapple Chunks (canned),Food - Fruits,Canned Fruits,2.29
374,Vegetable Spiralizer,Kitchen,Food Preparation Tools,19.99
375,First Aid Kit,Health,Emergency Preparedness & First Aid,29.99
376,Puffer Winter Coat,Clothing - Outerwear,Coats,99.99
377,Portable Air Pump,Outdoor,Camping Equipment,19.99
378,Garden Tool Set,Garden,Garden Tools,34.99
379,Savory Snack Mix,Food - Snacks,Savory Snacks,4.49
380,Smart Light Bulbs,Smart Home,Smart Lighting,34.99
381,LED Camping Lantern with USB Charging,Outdoor,Camping Equipment,34.99
382,Spinach Feta Wraps,Food - Deli,Wraps/Rolls,4.29
383,V-Neck Sweater,Clothing - Tops,Sweaters,49.99
384,Ultra-Thin Laptop Sleeve,Accessories,Laptop Accessories,19.99
385,Vegetable Lasagna,Food - Frozen Foods,Frozen Meals,6.99
386,Chicken Broth,Food - Canned Goods,Soups & Broths,2.49
387,Craft Beer Mustard,Food - Condiments,Mustards,3.99
388,Frozen Acai Bowl,Food - Frozen Foods,Frozen Smoothies,6.49
389,V-Neck Sweater,Clothing - Tops,Sweaters,49.99
390,Coconut Milk,Food - Canned Goods,Coconut Products,2.49
391,LED Table Lamp,Home,Lighting & Lamps,29.99
392,High-Speed Hand Blender,Kitchen,Blenders & Juicers,39.99
393,Non-Toxic Crayons for Kids,Toys,Art Supplies,10.99
394,Reusable Produce Bags Set,Kitchen,Eco-Friendly Kitchen Products,14.99
395,Wireless Earbuds,Audio,Earbuds,69.99
396,Organic Honeycrisp Apples,Food - Fruits,Apples,1.99
397,Kale & Quinoa Salad Mix,Food - Salads,Ready-to-Eat Salads,4.49
398,Dried Fruit Medley,Food - Snacks,Sweet Snacks,5.49
399,Cinnamon Apple Sauce,Food - Canned Goods,Sauces & Condiments,2.49
400,Spice Rack,Kitchen,Kitchen Storage & Organization,39.99
401,Multifunctional Baby Bottle Warmer,Baby,Feeding Accessories,39.99
402,Puzzle Game Set,Toys,Board Games,34.99
403,Frozen Hash Browns,Food - Frozen Foods,Frozen Potato Products,2.99
404,High-Top Leather Boots,Clothing - Footwear,Boots,99.99
405,Mini Meatballs,Food - Frozen Meals,Frozen Appetizers,5.99
406,Compressed Towel Tablets,Travel,Travel Accessories,12.99
407,Wooden Children's Play Kitchen,Toys,Pretend Play Toys,129.99
408,Hummus,Food - Snacks,Dips and Spreads,4.29
409,Chocolate Covered Pretzels,Food - Snacks,Savory Snacks,3.29
410,Reusable Snack Bags,Kitchen,Food Storage Solutions,14.99
411,Foldable Picnic Table,Outdoor,Outdoor Furniture,49.99
412,Peach Mango Smoothie Mix,Food - Beverages,Smoothies,5.99
413,Multi-Function Meat Tenderizer,Kitchen,Kitchen Gadgets,19.99
414,Savory Oats,Food - Breakfast,Savory Breakfast Options,2.49
415,Ceramic Knife Set,Kitchen,Cutlery,39.99
416,Wall-Mounted Spice Rack,Kitchen,Kitchen Storage & Organization,39.99
417,Instant Mashed Potatoes,Food - Sides,Potatoes,1.79
418,Magnetic Screen Door,Outdoor,Outdoor Accessories,24.99
419,Sweet Chili Sauce,Food - Condiments,Sauces,2.99
420,Peas (frozen),Food - Frozen Foods,Frozen Vegetables,1.89
421,Pet Grooming Kit,Pets,Grooming Supplies,39.99
422,Window Blinds,Home,Home Decor,59.99
423,Vegan Tacos,Food - Frozen Foods,Frozen Vegan Meals,7.49
424,Pet Grooming Brush,Pets,Grooming Supplies,19.99
425,Sketchbook,Art Supplies,Drawing Supplies,14.99
426,Crispy Potato Tots,Food - Frozen Foods,Frozen Snacks,3.69
